      x	        v1       v2        v3         v4
  -11.7500         0         0         0         0
  -11.2500         0         0         0         0
  -10.7500         0         0         0         0
  -10.2500         0         0   -0.0003         0
   -9.7500   -0.0057         0    0.0207    0.0374
   -9.2500   -0.0109         0    0.0447    0.0818
   -8.7500   -0.0086         0    0.0689    0.1246
   -8.2500    0.0040         0    0.0940    0.1658
   -7.7500    0.0195         0    0.1221    0.2065
   -7.2500    0.0410         0    0.1491    0.2438
   -6.7500    0.0710         0    0.1802    0.2789
   -6.2500    0.1115         0    0.2135    0.3111
   -5.7500    0.1615         0    0.2511    0.3389
   -5.2500    0.2219         0    0.3029    0.3656
   -4.7500    0.2982    0.1682    0.3646    0.3893
   -4.2500    0.3823    0.3145    0.4203    0.4110
   -3.7500    0.4667    0.4651    0.4641    0.4279
   -3.2500    0.5456    0.5963    0.5007    0.4447
   -2.7500    0.6197    0.7082    0.5285    0.4586
   -2.2500    0.6829    0.7976    0.5512    0.4698
   -1.7500    0.7366    0.8707    0.5705    0.4769
   -1.2500    0.7783    0.9256    0.5821    0.4838
   -0.7500    0.8033    0.9608    0.5896    0.4873
   -0.2500    0.8182    0.9781    0.5913    0.4913
    0.2500    0.8182    0.9781    0.5913    0.4913
    0.7500    0.8033    0.9608    0.5896    0.4873
    1.2500    0.7783    0.9256    0.5821    0.4838
    1.7500    0.7366    0.8707    0.5705    0.4769
    2.2500    0.6829    0.7976    0.5512    0.4698
    2.7500    0.6197    0.7082    0.5285    0.4586
    3.2500    0.5456    0.5963    0.5007    0.4447
    3.7500    0.4667    0.4651    0.4641    0.4279
    4.2500    0.3823    0.3145    0.4203    0.4110
    4.7500    0.2982    0.1682    0.3646    0.3893
    5.2500    0.2219         0    0.3029    0.3656
    5.7500    0.1615         0    0.2511    0.3389
    6.2500    0.1115         0    0.2135    0.3111
    6.7500    0.0710         0    0.1802    0.2789
    7.2500    0.0410         0    0.1491    0.2438
    7.7500    0.0195         0    0.1221    0.2065
    8.2500    0.0040         0    0.0940    0.1658
    8.7500   -0.0086         0    0.0689    0.1246
    9.2500   -0.0109         0    0.0447    0.0818
    9.7500   -0.0057         0    0.0207    0.0374
   10.2500         0         0   -0.0003         0
   10.7500         0         0         0         0
   11.2500         0         0         0         0
   11.7500         0         0         0         0
