    z          v100      v200      v400     v800       v2000 
  -14.7000    0.1238    0.1653    0.3111    0.3138    0.3138
  -14.1000    0.3393    0.5592    0.7308    0.9319    1.0127
  -13.5000    0.4013    0.8413    1.1739    1.4454    1.5684
  -12.9000    0.7462    1.0672    1.6649    2.0028    2.1835
  -12.3000    0.9257    1.3783    1.9004    2.4914    2.7633
  -11.7000    1.0628    1.6312    2.3865    2.9122    3.1456
  -11.1000    1.1874    1.8589    2.6762    3.4553    3.8397
  -10.5000    1.3594    2.1131    2.9738    3.8339    4.1619
   -9.9000    1.4055    2.2738    3.4010    4.2810    4.6931
   -9.3000    1.5998    2.4065    3.6370    4.6718    5.0079
   -8.7000    1.5819    2.6659    3.8816    5.0416    5.4227
   -8.1000    1.6303    2.8649    4.1832    5.4097    5.8056
   -7.5000    1.6854    2.9810    4.3479    5.6303    6.1128
   -6.9000    1.7527    3.0530    4.5797    5.8259    6.4057
   -6.3000    1.8000    3.1352    4.8612    6.2122    6.6754
   -5.7000    1.8537    3.2196    5.0299    6.4491    7.0290
   -5.1000    1.8524    3.2627    5.1006    6.6199    7.3067
   -4.5000    1.8851    3.3329    5.1839    6.7555    7.4127
   -3.9000    1.9534    3.3679    5.2244    7.0485    7.6042
   -3.3000    1.9144    3.4302    5.3881    7.1847    7.8223
   -2.7000    1.8821    3.5388    5.6129    7.1740    7.9568
   -2.1000    1.8999    3.5405    5.6090    7.2663    8.0396
   -1.5000    1.8853    3.6571    5.5357    7.4191    8.1010
   -0.9000    2.0277    3.6175    5.7496    7.4591    8.2454
   -0.3000    1.9811    3.4739    5.6927    7.5111    8.2343
    0.3000    1.9382    3.5336    5.7036    7.5075    8.1476
    0.9000    1.9720    3.5614    5.6317    7.4616    8.2241
    1.5000    1.9763    3.5066    5.6352    7.3657    8.0368
    2.1000    1.9725    3.5460    5.6332    7.3016    8.0079
    2.7000    2.0097    3.5398    5.3742    7.1969    7.9706
    3.3000    1.9319    3.4270    5.4332    7.1646    7.9115
    3.9000    1.9527    3.3611    5.2545    6.9774    7.6702
    4.5000    1.9060    3.4608    5.3014    6.7442    7.3933
    5.1000    1.9397    3.3308    5.1395    6.6165    7.2777
    5.7000    1.8531    3.1347    5.0073    6.3438    6.9192
    6.3000    1.7415    3.0447    4.7216    6.2095    6.6298
    6.9000    1.7181    2.9360    4.6625    5.8606    6.3868
    7.5000    1.7445    2.8502    4.3689    5.6197    6.1882
    8.1000    1.6744    2.7748    4.1789    5.2584    5.7687
    8.7000    1.6095    2.5793    3.8169    5.0057    5.3886
    9.3000    1.4914    2.4244    3.6126    4.6593    5.1150
    9.9000    1.3959    2.3275    3.3860    4.2476    4.6432
   10.5000    1.2282    2.1713    3.1081    3.9411    4.1419
   11.1000    1.1598    1.9133    2.7123    3.4615    3.7167
   11.7000    1.0381    1.5873    2.3268    3.0689    3.2340
   12.3000    0.9251    1.4423    1.9781    2.4666    2.6939
   12.9000    0.7620    1.0652    1.5606    1.9410    2.1956
   13.5000    0.4480    0.9139    1.1970    1.4915    1.5500
   14.1000    0.3494    0.4866    0.7887    0.7690    0.9211
   14.7000    0.1931    0.1605    0.2767    0.1934    0.2699
