    z          v100      v200      v400     v800       v2000
  -14.7000    0.0897    0.1862    0.3421    0.3138    0.2005
  -14.1000    0.4462    0.6421    0.7270    0.9976    0.9955
  -13.5000    0.6841    0.6986    1.0968    1.3499    1.5966
  -12.9000    0.8936    1.2371    1.6288    2.0929    2.3458
  -12.3000    0.8511    1.4653    1.9527    2.5621    2.6366
  -11.7000    1.0472    1.5330    2.2179    2.9160    3.2885
  -11.1000    1.3459    1.9228    2.9245    3.3580    3.7460
  -10.5000    1.3239    2.2104    3.1703    3.8626    4.2874
   -9.9000    1.4497    2.2743    3.5621    4.3346    4.6406
   -9.3000    1.5824    2.4478    3.6296    4.7631    4.9254
   -8.7000    1.6332    2.5271    3.9578    5.0876    5.4590
   -8.1000    1.5946    2.7026    4.1284    5.3718    5.7692
   -7.5000    1.6699    2.9893    4.4067    5.6894    6.0893
   -6.9000    1.8658    3.0621    4.7080    5.8825    6.4955
   -6.3000    1.7978    3.1513    4.7823    6.1812    6.9508
   -5.7000    1.9220    3.2318    5.0224    6.4767    6.8963
   -5.1000    1.9636    3.1813    4.9840    6.7310    7.2716
   -4.5000    1.8828    3.4238    5.2737    6.8586    7.4608
   -3.9000    1.8416    3.5459    5.4954    6.7749    7.5631
   -3.3000    1.9155    3.6358    5.2579    7.0927    7.9361
   -2.7000    1.9467    3.4406    5.4815    7.1150    7.8915
   -2.1000    2.0206    3.5960    5.6417    7.3948    7.9121
   -1.5000    1.9803    3.6803    5.6466    7.3967    8.0447
   -0.9000    1.8116    3.5591    5.6587    7.4859    8.1129
   -0.3000    2.0545    3.5279    5.7624    7.3881    8.1345
    0.3000    1.9650    3.6214    5.7553    7.4668    8.1295
    0.9000    1.9364    3.7385    5.5858    7.4106    8.0705
    1.5000    1.9402    3.5930    5.8354    7.3318    8.1250
    2.1000    1.9208    3.4029    5.6164    7.2892    8.0205
    2.7000    1.9299    3.4496    5.4889    7.2260    7.9198
    3.3000    1.8659    3.4399    5.5105    7.0147    7.8208
    3.9000    1.9892    3.3805    5.3896    7.0168    7.4357
    4.5000    2.0305    3.4261    5.2326    6.8051    7.4365
    5.1000    1.7659    3.4291    5.0343    6.5319    7.1208
    5.7000    1.9600    3.0457    4.7755    6.5418    7.1912
    6.3000    1.8776    3.1779    4.7366    6.2348    6.6752
    6.9000    1.8960    2.8211    4.5593    5.9745    6.5713
    7.5000    1.7080    2.7611    4.4802    5.7987    6.1738
    8.1000    1.5743    2.6486    4.2174    5.3547    5.7619
    8.7000    1.6449    2.5850    4.0333    5.0856    5.3515
    9.3000    1.4093    2.5508    3.6299    4.5318    4.9137
    9.9000    1.3206    2.1401    3.2423    4.1626    4.5788
   10.5000    1.3876    1.9436    2.9799    3.6772    4.1363
   11.1000    1.2935    1.8819    2.7617    3.5309    3.6948
   11.7000    1.1275    1.6639    2.4151    3.0000    3.2450
   12.3000    0.7943    1.4740    1.9307    2.3623    2.7035
   12.9000    0.8775    0.9187    1.5232    1.8806    2.3032
   13.5000    0.4490    0.8926    1.1040    1.4327    1.6713
   14.1000    0.3316    0.4837    0.7017    0.9244    1.0572
   14.7000   -0.0472    0.2412    0.1122    0.3189    0.2445
